session,period,asset,feature,horizon_ms,q,threshold,N,mean_signed_bps,hit_rate
20260905T073818Z_e44d99bd,WE,ETH,depthBoth,2000,0.95,0.8754034916921162,1007,0.2505859422217416,0.3753723932472691
20260905T073818Z_e44d99bd,WE,ETH,depthBoth,5000,0.95,0.8754034916921162,671,0.38201347877723735,0.5320417287630402
20260905T073818Z_e44d99bd,WE,ETH,depthBoth,10000,0.95,0.8754034916921162,520,0.4868781308446389,0.6326923076923077
20260905T073818Z_e44d99bd,WE,ETH,depthBoth,30000,0.95,0.8754034916921162,324,0.44019195916080517,0.5925925925925926
20260905T073818Z_e44d99bd,WE,ETH,depthL1_extOFI,1000,0.8,0.7570159027128157,4811,0.11699341396585701,0.1876948659322386
20260905T073818Z_e44d99bd,WE,ETH,depthL1_extOFI,2000,0.8,0.7570159027128157,3001,0.18792052218967376,0.2899033655448184
20260905T073818Z_e44d99bd,WE,ETH,depthL1_extOFI,5000,0.8,0.7570159027128157,1701,0.31365034526238067,0.4538506760728983
20260905T073818Z_e44d99bd,WE,ETH,depthL1_extOFI,10000,0.8,0.7570159027128157,1114,0.382010815530793,0.5224416517055656
20260905T073818Z_e44d99bd,WE,ETH,depthL1_extOFI,30000,0.8,0.7570159027128157,520,0.34618094495222596,0.55
20260905T073818Z_e44d99bd,WE,ETH,depthL1_extOFI,1000,0.9,0.871161027337648,2674,0.1556549631610405,0.23821989528795812
20260905T073818Z_e44d99bd,WE,ETH,depthL1_extOFI,2000,0.9,0.871161027337648,1804,0.23590036503651568,0.35698447893569846
20260905T073818Z_e44d99bd,WE,ETH,depthL1_extOFI,5000,0.9,0.871161027337648,1131,0.3739130758145223,0.5243147656940761
20260905T073818Z_e44d99bd,WE,ETH,depthL1_extOFI,10000,0.9,0.871161027337648,808,0.4619041489890249,0.5853960396039604
20260905T073818Z_e44d99bd,WE,ETH,depthL1_extOFI,30000,0.9,0.871161027337648,442,0.4046549096368509,0.5633484162895928
20260905T073818Z_e44d99bd,WE,ETH,depthL1_extOFI,1000,0.95,0.943344790802418,1547,0.2076443495960587,0.28312863606981253
20260905T073818Z_e44d99bd,WE,ETH,depthL1_extOFI,2000,0.95,0.943344790802418,1087,0.30780790295050436,0.41766329346826125
20260905T073818Z_e44d99bd,WE,ETH,depthL1_extOFI,5000,0.95,0.943344790802418,737,0.45563070954515905,0.587516960651289
20260905T073818Z_e44d99bd,WE,ETH,depthL1_extOFI,10000,0.95,0.943344790802418,577,0.5896620241642776,0.6447140381282496
20260905T073818Z_e44d99bd,WE,ETH,depthL1_extOFI,30000,0.95,0.943344790802418,350,0.5830481548584426,0.6314285714285715
20260905T073818Z_e44d99bd,WE,ETH,gap_depthBoth,1000,0.8,0.46097091006913626,2954,0.11095069322808872,0.14218009478672985
20260905T073818Z_e44d99bd,WE,ETH,gap_depthBoth,2000,0.8,0.46097091006913626,1713,0.1865239140628778,0.23584354932866317
20260905T073818Z_e44d99bd,WE,ETH,gap_depthBoth,5000,0.8,0.46097091006913626,906,0.33665343336755843,0.40507726269315675
20260905T073818Z_e44d99bd,WE,ETH,gap_depthBoth,10000,0.8,0.46097091006913626,612,0.4657393525878652,0.5130718954248366
20260905T073818Z_e44d99bd,WE,ETH,gap_depthBoth,30000,0.8,0.46097091006913626,339,0.4860247679116425,0.5870206489675516
20260905T073818Z_e44d99bd,WE,ETH,gap_depthBoth,1000,0.9,0.6001090906160302,1572,0.14872349423586742,0.1673027989821883
20260905T073818Z_e44d99bd,WE,ETH,gap_depthBoth,2000,0.9,0.6001090906160302,943,0.23578497854537436,0.2672322375397667
20260905T073818Z_e44d99bd,WE,ETH,gap_depthBoth,5000,0.9,0.6001090906160302,538,0.39999996163463886,0.4368029739776952
