session,period,asset,feature,horizon_ms,q,threshold,N,mean_signed_bps,median_signed_bps,hit_rate,mean_abs_move
20260908T074322Z_1057297f,NEW12,BTC,depth_imbalance_l5,5000,0.95,0.9752898400326442,642,0.7120463329519393,0.5725412969798116,0.6947040498442367,1.03857816027665
20260908T074322Z_1057297f,NEW12,BTC,depth_imbalance_l5,10000,0.95,0.9752898400326442,471,0.7235484571663531,0.6468399648151824,0.6751592356687898,1.4565242402258114
20260908T074322Z_1057297f,NEW12,BTC,depth_imbalance_l5,30000,0.95,0.9752898400326442,243,0.911100999728632,0.8507207318730892,0.6502057613168725,2.3327978098270106
20260908T074322Z_1057297f,NEW12,BTC,external_ofi,100,0.8,0.06837603446266301,6234,0.05566069627774422,0.0,0.08068655758742381,0.05910535354541539
20260908T074322Z_1057297f,NEW12,BTC,external_ofi,200,0.8,0.06837603446266301,6234,0.07753359112245821,0.0,0.11405197305101059,0.08815567572299074
20260908T074322Z_1057297f,NEW12,BTC,external_ofi,500,0.8,0.06837603446266301,6234,0.10590837089444279,0.0,0.15976900866217517,0.14339749456463993
20260908T074322Z_1057297f,NEW12,BTC,external_ofi,1000,0.8,0.06837603446266301,6234,0.13325436315396275,0.0,0.2173564324671158,0.23513972186928114
20260908T074322Z_1057297f,NEW12,BTC,external_ofi,2000,0.8,0.06837603446266301,3898,0.17678811487373328,0.0,0.29040533606977936,0.38122171466609583
20260908T074322Z_1057297f,NEW12,BTC,external_ofi,5000,0.8,0.06837603446266301,1856,0.27263489657485546,0.0,0.4089439655172414,0.7240494786602573
20260908T074322Z_1057297f,NEW12,BTC,external_ofi,10000,0.8,0.06837603446266301,998,0.28217648793853145,0.0,0.49198396793587174,1.1484816458632492
20260908T074322Z_1057297f,NEW12,BTC,external_ofi,30000,0.8,0.06837603446266301,351,0.3089078665449837,0.11468247925749964,0.50997150997151,2.263493925818014
20260908T074322Z_1057297f,NEW12,BTC,external_ofi,100,0.9,0.20448001355156414,4122,0.10140865536095446,0.0,0.13755458515283842,0.1043408430430406
20260908T074322Z_1057297f,NEW12,BTC,external_ofi,200,0.9,0.20448001355156414,4122,0.13518116544189152,0.0,0.1819505094614265,0.1451619836860608
20260908T074322Z_1057297f,NEW12,BTC,external_ofi,500,0.9,0.20448001355156414,4122,0.17824988648278633,0.0,0.2438136826783115,0.2077641165586223
20260908T074322Z_1057297f,NEW12,BTC,external_ofi,1000,0.9,0.20448001355156414,4121,0.21902432351467024,0.0,0.30696432904634796,0.3131734877821157
20260908T074322Z_1057297f,NEW12,BTC,external_ofi,2000,0.9,0.20448001355156414,2873,0.2740433688946422,0.0,0.38009049773755654,0.46140231044222196
20260908T074322Z_1057297f,NEW12,BTC,external_ofi,5000,0.9,0.20448001355156414,1561,0.3709372821443523,0.0,0.48046124279308133,0.789212299786009
20260908T074322Z_1057297f,NEW12,BTC,external_ofi,10000,0.9,0.20448001355156414,906,0.3354861372366803,0.1080312572165898,0.5154525386313465,1.2108800584143955
20260908T074322Z_1057297f,NEW12,BTC,external_ofi,30000,0.9,0.20448001355156414,338,0.2756457228712529,0.3755318838050137,0.5621301775147929,2.287780142169838
20260908T074322Z_1057297f,NEW12,BTC,external_ofi,100,0.95,0.45805526422589754,2530,0.17271283122277747,0.0,0.2300395256916996,0.178586546993267
